pool_identifier,pool_id,pool_name,active_stake,active_pledge,fixed_cost,margin,saturation,lifetime_luck,recent_luck,lifetime_roa,recent_roa
pool1swywvk87zmgypz45ura8d5af6aw5nrrgalt96raqm6ze2uqkhk0,pool1swywvk87zmgypz45ura8d5af6aw5nrrgalt96raqm6ze2uqkhk0,,0,0,340000000,0.01,0,0,0,0,0
pool1t3xele4dr85qz797gv9n4gdcwtcmsv9wvn9jyavxhpc3qzu50fx,pool1t3xele4dr85qz797gv9n4gdcwtcmsv9wvn9jyavxhpc3qzu50fx,,0,0,340000000,0.015,0,0,0,0,0
Input Output Global (IOHK) - Private,pool1j0j39t2dfmkflfnvresds8vlfhwg75qwufa95u55nw376ky29r8,Input Output Global (IOHK) - Private,0,0,500000000,1,0,0.9517083333333334,0,0,0
pool19yzav2l45q4gcwa53mh9ga6pf5c45t75qtqu6usfzup27qk27j0,pool19yzav2l45q4gcwa53mh9ga6pf5c45t75qtqu6usfzup27qk27j0,,0,0,340000000,0.01,0,0,0,0,0
pool1fn5fq6r68hsxv5yqa2xjxmrchcwrmylmyluqvsmvfam5jr36nnx,pool1fn5fq6r68hsxv5yqa2xjxmrchcwrmylmyluqvsmvfam5jr36nnx,,0,0,3400000000,0.02,0,0,0,0,0
pool1qdrzlpjyf8qvscu3wyttg6z9s475mfmlkk69ulpmlekgyx73fuy,pool1qdrzlpjyf8qvscu3wyttg6z9s475mfmlkk69ulpmlekgyx73fuy,,0,0,340000000,0.0495,0,0,0,0,0
Equinox,pool167r4k4twa3lrqzpzdd44hl4ahc9rnt4x7rjtwz60gtf7j7pnk5x,Equinox,0,0,345000000,1,0,0,0,0,0
pool1l38lxca7tzp0trqedr97usd0zk89q2x74qrez5xcafxechcw452,pool1l38lxca7tzp0trqedr97usd0zk89q2x74qrez5xcafxechcw452,,0,0,340000000,0,0,0.6589641074043854,0,0,0
Input Output Global (IOHK) - Private,pool1sr82s7yvwwsy6q0geveawrglt8ss39jhsfz7d0p4a5y6kk30mdd,Input Output Global (IOHK) - Private,0,0,500000000,1,0,1.0382166666666666,0,0,0
pool1hm55kzfkyll747qqwe5wnlqlu75kt9hm36nj0eruhez7wqyd58p,pool1hm55kzfkyll747qqwe5wnlqlu75kt9hm36nj0eruhez7wqyd58p,,0,0,345000000,0.03,0,0,0,0,0
eToro Pool 14,pool1lyh8e725vttnkr5eylgfap7pmnmkrk0wznpkfl8qxahyqe2agcu,eToro Pool 14,0,0,340000000,1,0,0.9448177673756755,0,0,0
pool13hqjq6yxcsk3wpygedcp04crk58qsc00gw4wf77q6kehxxagqme,pool13hqjq6yxcsk3wpygedcp04crk58qsc00gw4wf77q6kehxxagqme,,0,0,340000000,0.02,0,0,0,0,0
eToro Pool 17,pool1r9rc8f6xtl8fxmrvz3et9en0p8tp9aq0rzslfczawq6m7udqd33,eToro Pool 17,0,0,340000000,1,0,0,0,0,0
pool1vujjarchz7tgec2xazavrsa0r8trf3u6840lgnq2p4kdsg0830y,pool1vujjarchz7tgec2xazavrsa0r8trf3u6840lgnq2p4kdsg0830y,,0,0,340000000,0.02,0,0,0,0,0
Thankyou Pool,pool1ul0t4hjnnhz4wgaghaa7hur77l7gp0akagmjx40r0kn8ct00vl5,Thankyou Pool,0,0,340000000,0.009,0,0.7692609572950786,0,2.63003395402813,0
pool1nms3yppslynx2etssx3sslg0mzpc345wzynf64lzjmfyg6ghj9t,pool1nms3yppslynx2etssx3sslg0mzpc345wzynf64lzjmfyg6ghj9t,,0,0,360000000,0.05,0,0,0,0,0
THE SUPER GOOD NODE,pool1t69ww3neaf5z5jy3a3fjuw2drz50sw593u6gp00kq5fqz3n58h4,THE SUPER GOOD NODE,0,12068846,340000000,0,0,0,0,0,0
pool10h9j9hazmtszyfyty7e6vj3usr6v0jdzvraqcxxs27rtqp7hsgc,pool10h9j9hazmtszyfyty7e6vj3usr6v0jdzvraqcxxs27rtqp7hsgc,,0,0,340000000,0.01,0,0,0,0,0
pool1q426xdlg94lcpgrnmfs8dkp9hu08my5rvw574mum96jhg8yhd5v,pool1q426xdlg94lcpgrnmfs8dkp9hu08my5rvw574mum96jhg8yhd5v,,0,7664652499,340000000,1,0,0.8968316027843155,0,0,0
pool1ajy6eslg9ju7mpqzlaeehz02algkfs7fk3qsym7wun7ks6z06tu,pool1ajy6eslg9ju7mpqzlaeehz02algkfs7fk3qsym7wun7ks6z06tu,,0,0,340000000,0,0,0,0,0,0
Wookie Nation,pool1dnszy9spu7m4u9s8jqh95myuqapujwcju593eqczgl56khllyuc,Wookie Nation,0,9622896,340000000,0.03,0,0.43264115513798385,0,1.1523440042292097,0
pool1sqxvayj9w80g42w7chla9x56atj75jwxvkrkrtkcvcyjcak9wx2,pool1sqxvayj9w80g42w7chla9x56atj75jwxvkrkrtkcvcyjcak9wx2,,0,0,345000000,0.02,0,0,0,0,0
pool137fwd42fzdpddzxh56gxntpke3hcm5scr7f0fwn9f3xrsd4pu20,pool137fwd42fzdpddzxh56gxntpke3hcm5scr7f0fwn9f3xrsd4pu20,,0,0,340000000,0.01,0,1.3120395322361829,0,3.2912954300331085,0
pool18ecuhr75yr6zt9e707shkj5w9p664syqnkt8gmmlkydg27z39xt,pool18ecuhr75yr6zt9e707shkj5w9p664syqnkt8gmmlkydg27z39xt,,0,0,340000000,0.01,0,0,0,0,0
ADA CUAN,pool14kddecyyn0vjm07kr7vctnqnn3dt668dna63epdly220z4kgss7,ADA CUAN,0,0,340000000,0.01,0,0,0,0,0
pool1t6mnkhwj99hm0ckt8fkf85r84le9p95v2a3l874vfn947g5ajmu,pool1t6mnkhwj99hm0ckt8fkf85r84le9p95v2a3l874vfn947g5ajmu,,0,0,340000000,0.028,0,0,0,0,0
pool1w304gh8xwdcjxumdl5yhvu28j6eax9sf08tu98cp5eth27vy6ez,pool1w304gh8xwdcjxumdl5yhvu28j6eax9sf08tu98cp5eth27vy6ez,,0,1255045,345000000,0.02,0,0,0,0,0
Input Output Global (IOHK) - Private,pool1ge06eu8lvdj6jakxw8zuwj3yxtpmeek8j8rgwqfshj7vg390fj0,Input Output Global (IOHK) - Private,0,0,500000000,1,0,0.9660333333333333,0,0,0
Ivy Oracle Stake Pool,pool157xnzltgv3h4zzege5qh0fx23cr90gve663xddtq4j0u56fu8c9,Ivy Oracle Stake Pool,0,0,340000000,0,0,0,0,0,0
pool16zfptlhz8qd0zhufg5w09cp44rm50xt3mphwt28l4cxw55ewvh0,pool16zfptlhz8qd0zhufg5w09cp44rm50xt3mphwt28l4cxw55ewvh0,,0,182428,345000000,0.15,0,0,0,0,0
