pool_id,pool_identifier,epoch_no,epoch_stake_lovelace,pledged_lovelace,luck,delegators,block_minted,reward_member_pct
pool12t3zmafwjqms7cuun86uwc8se4na07r3e5xswe86u37djr5f0lx,#1 Nordic Pool,615,77760873917123.0,11005441921.0,1.0166,4091.0,76.0,0.0
pool12t3zmafwjqms7cuun86uwc8se4na07r3e5xswe86u37djr5f0lx,#1 Nordic Pool,614,77957322058206.0,11005441921.0,1.0715,4090.0,80.0,2.316
pool12t3zmafwjqms7cuun86uwc8se4na07r3e5xswe86u37djr5f0lx,#1 Nordic Pool,613,74492149803933.0,11005441921.0,1.0733,4088.0,81.0,2.438
pool12t3zmafwjqms7cuun86uwc8se4na07r3e5xswe86u37djr5f0lx,#1 Nordic Pool,612,74363280080048.0,11005441921.0,1.0055,4088.0,76.0,2.289
pool12t3zmafwjqms7cuun86uwc8se4na07r3e5xswe86u37djr5f0lx,#1 Nordic Pool,610,74650818506127.0,11005441921.0,1.0659,4081.0,80.0,2.441
pool12t3zmafwjqms7cuun86uwc8se4na07r3e5xswe86u37djr5f0lx,#1 Nordic Pool,609,74991979748890.0,11005441921.0,0.9519,4088.0,72.0,2.184
pool12t3zmafwjqms7cuun86uwc8se4na07r3e5xswe86u37djr5f0lx,#1 Nordic Pool,608,74956269021091.0,11005441921.0,1.1094,4090.0,84.0,2.552
pool1xytvsd9qnvqxpthh9p8k85e823trvn3npxeur8kr9zhkqz5uls9,ADAvault,615,76981438777848.0,257107834901.0,0.9815,3531.0,76.0,0.0
pool1xytvsd9qnvqxpthh9p8k85e823trvn3npxeur8kr9zhkqz5uls9,ADAvault,614,76721368630793.0,256699287115.0,1.1138,3534.0,86.0,2.534
pool1xytvsd9qnvqxpthh9p8k85e823trvn3npxeur8kr9zhkqz5uls9,ADAvault,613,77161475380385.0,256260678091.0,0.9894,3530.0,77.0,2.238
pool1xytvsd9qnvqxpthh9p8k85e823trvn3npxeur8kr9zhkqz5uls9,ADAvault,612,76904980155667.0,255832109646.0,0.8619,3526.0,67.0,1.954
pool1xytvsd9qnvqxpthh9p8k85e823trvn3npxeur8kr9zhkqz5uls9,ADAvault,610,76777539146797.0,255032574808.0,1.1076,3532.0,85.0,2.53
pool1xytvsd9qnvqxpthh9p8k85e823trvn3npxeur8kr9zhkqz5uls9,ADAvault,609,78119617309295.0,254629917211.0,0.737,3536.0,57.0,1.649
pool1xytvsd9qnvqxpthh9p8k85e823trvn3npxeur8kr9zhkqz5uls9,ADAvault,608,76636711916790.0,254206549917.0,0.7731,3541.0,60.0,1.769
pool14cq4fchmmqjygwjw4zexmqqd6a7caxptjnvseyu6wanjuppv4vk,Cardano Suisse,615,76593024896411.0,5068531737732.0,0.9455,1893.0,73.0,0.0
pool14cq4fchmmqjygwjw4zexmqqd6a7caxptjnvseyu6wanjuppv4vk,Cardano Suisse,614,76656010743267.0,5066574428589.0,1.0063,1889.0,77.0,2.308
pool14cq4fchmmqjygwjw4zexmqqd6a7caxptjnvseyu6wanjuppv4vk,Cardano Suisse,613,76932122833035.0,5065081685457.0,1.0069,1887.0,78.0,2.314
pool14cq4fchmmqjygwjw4zexmqqd6a7caxptjnvseyu6wanjuppv4vk,Cardano Suisse,612,76211487087706.0,5063459266507.0,1.1121,1885.0,86.0,2.584
pool14cq4fchmmqjygwjw4zexmqqd6a7caxptjnvseyu6wanjuppv4vk,Cardano Suisse,610,76377012976003.0,5060417794831.0,0.9012,1885.0,69.0,2.099
pool14cq4fchmmqjygwjw4zexmqqd6a7caxptjnvseyu6wanjuppv4vk,Cardano Suisse,609,76422141817928.0,5058798021768.0,0.8595,1885.0,66.0,2.002
pool14cq4fchmmqjygwjw4zexmqqd6a7caxptjnvseyu6wanjuppv4vk,Cardano Suisse,608,76460826699969.0,5057058936891.0,0.8162,1883.0,63.0,1.907
pool18rjrygm3knlt67n3r3prlhnzcjxun7wa8d3l8w9nmlpasquv4au,Cardano Foundation - Private,615,76315166700092.0,76301499928745.0,1.1621,9.0,89.0,0.0
pool18rjrygm3knlt67n3r3prlhnzcjxun7wa8d3l8w9nmlpasquv4au,Cardano Foundation - Private,614,76315092569213.0,76301499928745.0,1.0441,9.0,80.0,0.0
pool18rjrygm3knlt67n3r3prlhnzcjxun7wa8d3l8w9nmlpasquv4au,Cardano Foundation - Private,613,76315022763723.0,76301499928745.0,1.0482,9.0,81.0,0.0
pool18rjrygm3knlt67n3r3prlhnzcjxun7wa8d3l8w9nmlpasquv4au,Cardano Foundation - Private,612,76314766749444.0,76301499928745.0,1.126,10.0,87.0,0.0
pool18rjrygm3knlt67n3r3prlhnzcjxun7wa8d3l8w9nmlpasquv4au,Cardano Foundation - Private,610,76314124654461.0,76301499928745.0,0.89,8.0,68.0,0.0
pool18rjrygm3knlt67n3r3prlhnzcjxun7wa8d3l8w9nmlpasquv4au,Cardano Foundation - Private,609,76304760923038.0,76301499928745.0,0.7049,7.0,54.0,0.0
pool18rjrygm3knlt67n3r3prlhnzcjxun7wa8d3l8w9nmlpasquv4au,Cardano Foundation - Private,608,76304052322859.0,76301499928745.0,1.0283,5.0,79.0,0.0
pool1n6erydn8x79sa3fmrqmj7mcyqa9em5fppr447j6d9k0xwfl7sc5,Cardano Foundation - Private,615,76301500320156.0,76301500320156.0,1.0317,4.0,79.0,0.0
pool1n6erydn8x79sa3fmrqmj7mcyqa9em5fppr447j6d9k0xwfl7sc5,Cardano Foundation - Private,614,76301500320156.0,76301500320156.0,0.979,4.0,75.0,0.0
pool1n6erydn8x79sa3fmrqmj7mcyqa9em5fppr447j6d9k0xwfl7sc5,Cardano Foundation - Private,613,76301500320156.0,76301500320156.0,0.9707,4.0,75.0,0.0
pool1n6erydn8x79sa3fmrqmj7mcyqa9em5fppr447j6d9k0xwfl7sc5,Cardano Foundation - Private,612,76301500320156.0,76301500320156.0,0.8802,4.0,68.0,0.0
pool1n6erydn8x79sa3fmrqmj7mcyqa9em5fppr447j6d9k0xwfl7sc5,Cardano Foundation - Private,610,76301500320156.0,76301500320156.0,1.0078,4.0,77.0,0.0
pool1n6erydn8x79sa3fmrqmj7mcyqa9em5fppr447j6d9k0xwfl7sc5,Cardano Foundation - Private,609,76301500320156.0,76301500320156.0,0.979,4.0,75.0,0.0
pool1n6erydn8x79sa3fmrqmj7mcyqa9em5fppr447j6d9k0xwfl7sc5,Cardano Foundation - Private,608,76301500320156.0,76301500320156.0,1.2496,4.0,96.0,0.0
pool1xmlq3sgssww6kwu8dupgxukzhlk77j40p9c4r3qux3j5z2ysk2c,Cardano Foundation - Private,615,76301499880772.0,76301499880772.0,0.888,4.0,68.0,0.0
pool1xmlq3sgssww6kwu8dupgxukzhlk77j40p9c4r3qux3j5z2ysk2c,Cardano Foundation - Private,614,76301499880772.0,76301499880772.0,1.1226,4.0,86.0,0.0
pool1xmlq3sgssww6kwu8dupgxukzhlk77j40p9c4r3qux3j5z2ysk2c,Cardano Foundation - Private,613,76301499880772.0,76301499880772.0,1.1002,4.0,85.0,0.0
pool1xmlq3sgssww6kwu8dupgxukzhlk77j40p9c4r3qux3j5z2ysk2c,Cardano Foundation - Private,612,76301499880772.0,76301499880772.0,0.8673,4.0,67.0,0.0
pool1xmlq3sgssww6kwu8dupgxukzhlk77j40p9c4r3qux3j5z2ysk2c,Cardano Foundation - Private,610,76301499880772.0,76301499880772.0,1.2041,4.0,92.0,0.0
pool1xmlq3sgssww6kwu8dupgxukzhlk77j40p9c4r3qux3j5z2ysk2c,Cardano Foundation - Private,609,76301499880772.0,76301499880772.0,1.1618,4.0,89.0,0.0
pool1xmlq3sgssww6kwu8dupgxukzhlk77j40p9c4r3qux3j5z2ysk2c,Cardano Foundation - Private,608,76301499880772.0,76301499880772.0,0.82,4.0,63.0,0.0
pool1l0erdjregched3dj828q93rfa2f4w4p62nr248xshj5huq6zuvp,Cardano Foundation - Private,615,76301499726481.0,76301499726481.0,1.2015,4.0,92.0,0.0
pool1l0erdjregched3dj828q93rfa2f4w4p62nr248xshj5huq6zuvp,Cardano Foundation - Private,614,76301499726481.0,76301499726481.0,1.0573,4.0,81.0,0.0
pool1l0erdjregched3dj828q93rfa2f4w4p62nr248xshj5huq6zuvp,Cardano Foundation - Private,613,76301499726481.0,76301499726481.0,0.906,4.0,70.0,0.0
pool1l0erdjregched3dj828q93rfa2f4w4p62nr248xshj5huq6zuvp,Cardano Foundation - Private,612,76301499726481.0,76301499726481.0,0.9191,4.0,71.0,0.0
pool1l0erdjregched3dj828q93rfa2f4w4p62nr248xshj5huq6zuvp,Cardano Foundation - Private,610,76301499726481.0,76301499726481.0,1.2041,4.0,92.0,0.0
pool1l0erdjregched3dj828q93rfa2f4w4p62nr248xshj5huq6zuvp,Cardano Foundation - Private,609,76301499726481.0,76301499726481.0,0.9921,4.0,76.0,0.0
pool1l0erdjregched3dj828q93rfa2f4w4p62nr248xshj5huq6zuvp,Cardano Foundation - Private,608,76301499726481.0,76301499726481.0,1.1324,4.0,87.0,0.0
pool1uy07qyf0gzzua2glqspyvyevwpe8tamajnqj6c7mjzy4v3m4kne,pool1uy07qyf0gzzua2glqspyvyevwpe8tamajnqj6c7mjzy4v3m4kne,615,76330348449514.0,76333451094232.0,0.9268,1.0,71.0,0.0
pool1uy07qyf0gzzua2glqspyvyevwpe8tamajnqj6c7mjzy4v3m4kne,pool1uy07qyf0gzzua2glqspyvyevwpe8tamajnqj6c7mjzy4v3m4kne,614,76326132271543.0,76324507892945.0,0.9787,1.0,75.0,0.0
pool1uy07qyf0gzzua2glqspyvyevwpe8tamajnqj6c7mjzy4v3m4kne,pool1uy07qyf0gzzua2glqspyvyevwpe8tamajnqj6c7mjzy4v3m4kne,613,76333451094232.0,76333994755574.0,0.8409,1.0,65.0,0.0
pool1uy07qyf0gzzua2glqspyvyevwpe8tamajnqj6c7mjzy4v3m4kne,pool1uy07qyf0gzzua2glqspyvyevwpe8tamajnqj6c7mjzy4v3m4kne,612,76324507892945.0,76334340387443.0,1.0739,1.0,83.0,0.0
pool1uy07qyf0gzzua2glqspyvyevwpe8tamajnqj6c7mjzy4v3m4kne,pool1uy07qyf0gzzua2glqspyvyevwpe8tamajnqj6c7mjzy4v3m4kne,610,76334340387443.0,76332256580735.0,1.0859,1.0,83.0,0.0
pool1uy07qyf0gzzua2glqspyvyevwpe8tamajnqj6c7mjzy4v3m4kne,pool1uy07qyf0gzzua2glqspyvyevwpe8tamajnqj6c7mjzy4v3m4kne,609,76330632384315.0,76361212653885.0,1.0957,1.0,84.0,0.0
pool1uy07qyf0gzzua2glqspyvyevwpe8tamajnqj6c7mjzy4v3m4kne,pool1uy07qyf0gzzua2glqspyvyevwpe8tamajnqj6c7mjzy4v3m4kne,608,76332256580735.0,76329519093683.0,0.9759,1.0,75.0,0.0
pool1vhz87537anw4u0ruqsyuftyh7zxnrxptr4nnv0m6mjgeu8kp83z,pool1vhz87537anw4u0ruqsyuftyh7zxnrxptr4nnv0m6mjgeu8kp83z,615,76324575099956.0,76326069788908.0,0.9791,1.0,75.0,0.0
pool1vhz87537anw4u0ruqsyuftyh7zxnrxptr4nnv0m6mjgeu8kp83z,pool1vhz87537anw4u0ruqsyuftyh7zxnrxptr4nnv0m6mjgeu8kp83z,614,76330018846968.0,76327717254718.0,0.9526,1.0,73.0,0.0
pool1vhz87537anw4u0ruqsyuftyh7zxnrxptr4nnv0m6mjgeu8kp83z,pool1vhz87537anw4u0ruqsyuftyh7zxnrxptr4nnv0m6mjgeu8kp83z,613,76326069788908.0,76315090573217.0,1.1258,1.0,87.0,0.0
pool1vhz87537anw4u0ruqsyuftyh7zxnrxptr4nnv0m6mjgeu8kp83z,pool1vhz87537anw4u0ruqsyuftyh7zxnrxptr4nnv0m6mjgeu8kp83z,612,76327717254718.0,76322423156188.0,0.9964,1.0,77.0,0.0
pool1vhz87537anw4u0ruqsyuftyh7zxnrxptr4nnv0m6mjgeu8kp83z,pool1vhz87537anw4u0ruqsyuftyh7zxnrxptr4nnv0m6mjgeu8kp83z,610,76322423156188.0,76327296159573.0,0.6411,1.0,49.0,0.0
pool1vhz87537anw4u0ruqsyuftyh7zxnrxptr4nnv0m6mjgeu8kp83z,pool1vhz87537anw4u0ruqsyuftyh7zxnrxptr4nnv0m6mjgeu8kp83z,609,76326896670387.0,76360786586728.0,0.8739,1.0,67.0,0.0
pool1vhz87537anw4u0ruqsyuftyh7zxnrxptr4nnv0m6mjgeu8kp83z,pool1vhz87537anw4u0ruqsyuftyh7zxnrxptr4nnv0m6mjgeu8kp83z,608,76327296159573.0,76326197292583.0,1.015,1.0,78.0,0.0
pool1r99a6puhdv2xzcfw05jjqvks3xhmy2l4wsndx9hmhudvu4yevz5,pool1r99a6puhdv2xzcfw05jjqvks3xhmy2l4wsndx9hmhudvu4yevz5,615,76324019821011.0,76325110415383.0,0.9792,1.0,75.0,0.0
pool1r99a6puhdv2xzcfw05jjqvks3xhmy2l4wsndx9hmhudvu4yevz5,pool1r99a6puhdv2xzcfw05jjqvks3xhmy2l4wsndx9hmhudvu4yevz5,614,76322215812005.0,76321030947280.0,0.9657,1.0,74.0,0.0
pool1r99a6puhdv2xzcfw05jjqvks3xhmy2l4wsndx9hmhudvu4yevz5,pool1r99a6puhdv2xzcfw05jjqvks3xhmy2l4wsndx9hmhudvu4yevz5,613,76325110415383.0,76330128028179.0,0.9057,1.0,70.0,0.0
pool1r99a6puhdv2xzcfw05jjqvks3xhmy2l4wsndx9hmhudvu4yevz5,pool1r99a6puhdv2xzcfw05jjqvks3xhmy2l4wsndx9hmhudvu4yevz5,612,76321030947280.0,76328423118173.0,0.9964,1.0,77.0,0.0
pool1r99a6puhdv2xzcfw05jjqvks3xhmy2l4wsndx9hmhudvu4yevz5,pool1r99a6puhdv2xzcfw05jjqvks3xhmy2l4wsndx9hmhudvu4yevz5,610,76328423118173.0,76330834111545.0,1.1513,1.0,88.0,0.0
pool1r99a6puhdv2xzcfw05jjqvks3xhmy2l4wsndx9hmhudvu4yevz5,pool1r99a6puhdv2xzcfw05jjqvks3xhmy2l4wsndx9hmhudvu4yevz5,609,76334117219637.0,76357780838163.0,1.0957,1.0,84.0,0.0
pool1r99a6puhdv2xzcfw05jjqvks3xhmy2l4wsndx9hmhudvu4yevz5,pool1r99a6puhdv2xzcfw05jjqvks3xhmy2l4wsndx9hmhudvu4yevz5,608,76330834111545.0,76324005590419.0,1.2753,1.0,98.0,0.0
pool1yafxktvszg85t5m20l8q8sufgcae6cxlk8cx96wrt8cdva7aknf,pool1yafxktvszg85t5m20l8q8sufgcae6cxlk8cx96wrt8cdva7aknf,615,76271302644461.0,76272394771910.0,0.9406,1.0,72.0,0.0
pool1yafxktvszg85t5m20l8q8sufgcae6cxlk8cx96wrt8cdva7aknf,pool1yafxktvszg85t5m20l8q8sufgcae6cxlk8cx96wrt8cdva7aknf,614,76270306413824.0,76269945588772.0,0.9533,1.0,73.0,0.0
pool1yafxktvszg85t5m20l8q8sufgcae6cxlk8cx96wrt8cdva7aknf,pool1yafxktvszg85t5m20l8q8sufgcae6cxlk8cx96wrt8cdva7aknf,613,76272394771910.0,76276173642745.0,0.9193,1.0,71.0,0.0
