pool_id,pool_identifier,epoch_no,delegators_t,delegators_lag1,delta_delegators,delta_log_delegators,lag1_luck,lag1_log_pledge,lag1_log_stake,lag1_margin_proxy,lag1_block_minted,lag1_log_delegators,has_lag2,lag2_luck,lag2_log_stake,lag2_log_delegators
pool1vhz87537anw4u0ruqsyuftyh7zxnrxptr4nnv0m6mjgeu8kp83z,pool1vhz87537anw4u0ruqsyuftyh7zxnrxptr4nnv0m6mjgeu8kp83z,613,1.0,1.0,0.0,0.0,0.9964,18.150477347652647,18.150546710162875,0.0,77.0,0.6931471805599453,0,,,
pool1vhz87537anw4u0ruqsyuftyh7zxnrxptr4nnv0m6mjgeu8kp83z,pool1vhz87537anw4u0ruqsyuftyh7zxnrxptr4nnv0m6mjgeu8kp83z,614,1.0,1.0,0.0,0.0,1.1258,18.150381269267964,18.150525125820682,0.0,87.0,0.6931471805599453,1,0.9964,18.150546710162875,0.6931471805599453
pool1vhz87537anw4u0ruqsyuftyh7zxnrxptr4nnv0m6mjgeu8kp83z,pool1vhz87537anw4u0ruqsyuftyh7zxnrxptr4nnv0m6mjgeu8kp83z,615,1.0,1.0,0.0,0.0,0.9526,18.150546710162875,18.150576863789922,0.0,73.0,0.6931471805599453,1,1.1258,18.150525125820682,0.6931471805599453
pool1r99a6puhdv2xzcfw05jjqvks3xhmy2l4wsndx9hmhudvu4yevz5,pool1r99a6puhdv2xzcfw05jjqvks3xhmy2l4wsndx9hmhudvu4yevz5,609,1.0,1.0,0.0,0.0,1.2753,18.15049808098029,18.150587544518483,0.0,98.0,0.6931471805599453,0,,,
pool1r99a6puhdv2xzcfw05jjqvks3xhmy2l4wsndx9hmhudvu4yevz5,pool1r99a6puhdv2xzcfw05jjqvks3xhmy2l4wsndx9hmhudvu4yevz5,610,1.0,1.0,0.0,0.0,1.0957,18.150940507659236,18.150630555150865,0.0,84.0,0.6931471805599453,1,1.2753,18.150587544518483,0.6931471805599453
pool1r99a6puhdv2xzcfw05jjqvks3xhmy2l4wsndx9hmhudvu4yevz5,pool1r99a6puhdv2xzcfw05jjqvks3xhmy2l4wsndx9hmhudvu4yevz5,613,1.0,1.0,0.0,0.0,0.9964,18.15055595791988,18.150459106334697,0.0,77.0,0.6931471805599453,0,,,
pool1r99a6puhdv2xzcfw05jjqvks3xhmy2l4wsndx9hmhudvu4yevz5,pool1r99a6puhdv2xzcfw05jjqvks3xhmy2l4wsndx9hmhudvu4yevz5,614,1.0,1.0,0.0,0.0,0.9057,18.15057829417253,18.15051255633368,0.0,70.0,0.6931471805599453,1,0.9964,18.150459106334697,0.6931471805599453
pool1r99a6puhdv2xzcfw05jjqvks3xhmy2l4wsndx9hmhudvu4yevz5,pool1r99a6puhdv2xzcfw05jjqvks3xhmy2l4wsndx9hmhudvu4yevz5,615,1.0,1.0,0.0,0.0,0.9657,18.150459106334697,18.150474630961362,0.0,74.0,0.6931471805599453,1,0.9057,18.15051255633368,0.6931471805599453
pool1yafxktvszg85t5m20l8q8sufgcae6cxlk8cx96wrt8cdva7aknf,pool1yafxktvszg85t5m20l8q8sufgcae6cxlk8cx96wrt8cdva7aknf,609,1.0,1.0,0.0,0.0,0.9897,18.14980706341096,18.14979475434658,0.0,76.0,0.6931471805599453,0,,,
pool1yafxktvszg85t5m20l8q8sufgcae6cxlk8cx96wrt8cdva7aknf,pool1yafxktvszg85t5m20l8q8sufgcae6cxlk8cx96wrt8cdva7aknf,610,1.0,1.0,0.0,0.0,1.1618,18.15022839578278,18.1498270387841,0.0,89.0,0.6931471805599453,1,0.9897,18.14979475434658,0.6931471805599453
pool1yafxktvszg85t5m20l8q8sufgcae6cxlk8cx96wrt8cdva7aknf,pool1yafxktvszg85t5m20l8q8sufgcae6cxlk8cx96wrt8cdva7aknf,613,1.0,1.0,0.0,0.0,0.9841,18.149897188986024,18.149789533848736,0.0,76.0,0.6931471805599453,0,,,
pool1yafxktvszg85t5m20l8q8sufgcae6cxlk8cx96wrt8cdva7aknf,pool1yafxktvszg85t5m20l8q8sufgcae6cxlk8cx96wrt8cdva7aknf,614,1.0,1.0,0.0,0.0,0.9193,18.149871188549966,18.149821645367417,0.0,71.0,0.6931471805599453,1,0.9841,18.149789533848736,0.6931471805599453
pool1yafxktvszg85t5m20l8q8sufgcae6cxlk8cx96wrt8cdva7aknf,pool1yafxktvszg85t5m20l8q8sufgcae6cxlk8cx96wrt8cdva7aknf,615,1.0,1.0,0.0,0.0,0.9533,18.149789533848736,18.1497942647318,0.0,73.0,0.6931471805599453,1,0.9193,18.149821645367417,0.6931471805599453
pool1r9fpxs4kcn80kylsjxs8tg3p50nk2s66qerfqtw4x70n5740nj9,pool1r9fpxs4kcn80kylsjxs8tg3p50nk2s66qerfqtw4x70n5740nj9,609,2.0,2.0,0.0,0.0,1.0066,18.145905936026004,18.146566344252857,0.0,77.0,1.0986122886681098,0,,,
pool1r9fpxs4kcn80kylsjxs8tg3p50nk2s66qerfqtw4x70n5740nj9,pool1r9fpxs4kcn80kylsjxs8tg3p50nk2s66qerfqtw4x70n5740nj9,610,2.0,2.0,0.0,0.0,0.9174,18.14621683808706,18.146973990444426,0.0,70.0,1.0986122886681098,1,1.0066,18.146566344252857,1.0986122886681098
pool1r9fpxs4kcn80kylsjxs8tg3p50nk2s66qerfqtw4x70n5740nj9,pool1r9fpxs4kcn80kylsjxs8tg3p50nk2s66qerfqtw4x70n5740nj9,613,2.0,2.0,0.0,0.0,1.0904,18.14734467437055,18.148239988414826,0.0,84.0,1.0986122886681098,0,,,
pool1r9fpxs4kcn80kylsjxs8tg3p50nk2s66qerfqtw4x70n5740nj9,pool1r9fpxs4kcn80kylsjxs8tg3p50nk2s66qerfqtw4x70n5740nj9,614,2.0,2.0,0.0,0.0,0.9601,18.147779724985757,18.14867820437302,0.0,74.0,1.0986122886681098,1,1.0904,18.148239988414826,1.0986122886681098
pool1r9fpxs4kcn80kylsjxs8tg3p50nk2s66qerfqtw4x70n5740nj9,pool1r9fpxs4kcn80kylsjxs8tg3p50nk2s66qerfqtw4x70n5740nj9,615,2.0,2.0,0.0,0.0,0.7193,18.14823989019117,18.149063182659635,0.0,55.0,1.0986122886681098,1,0.9601,18.14867820437302,1.0986122886681098
pool1kmmahq4upmm5j8fkh3xa9vd7gdffkp8pd4axucfh4w4dw549yqe,pool1kmmahq4upmm5j8fkh3xa9vd7gdffkp8pd4axucfh4w4dw549yqe,609,1.0,1.0,0.0,0.0,1.0988,18.145248283634224,18.146157203617367,0.0,84.0,0.6931471805599453,0,,,
pool1kmmahq4upmm5j8fkh3xa9vd7gdffkp8pd4axucfh4w4dw549yqe,pool1kmmahq4upmm5j8fkh3xa9vd7gdffkp8pd4axucfh4w4dw549yqe,610,1.0,1.0,0.0,0.0,0.9572,18.145685868021392,18.14660202274311,0.0,73.0,0.6931471805599453,1,1.0988,18.146157203617367,0.6931471805599453
pool1kmmahq4upmm5j8fkh3xa9vd7gdffkp8pd4axucfh4w4dw549yqe,pool1kmmahq4upmm5j8fkh3xa9vd7gdffkp8pd4axucfh4w4dw549yqe,613,1.0,1.0,0.0,0.0,0.8701,18.146988794649133,18.147720020590068,0.0,67.0,0.6931471805599453,0,,,
pool1kmmahq4upmm5j8fkh3xa9vd7gdffkp8pd4axucfh4w4dw549yqe,pool1kmmahq4upmm5j8fkh3xa9vd7gdffkp8pd4axucfh4w4dw549yqe,614,1.0,1.0,0.0,0.0,0.9346,18.14732845517534,18.14806972199398,0.0,72.0,0.6931471805599453,1,0.8701,18.147720020590068,0.6931471805599453
